Ball's radius: 1m
Start condition z0: 6m
Start condition v0: 2m/s

Time:	z(t):	v_z(t):	E(t)	Energy error:
17.25	2.67118	8.29917	127009	455.687
17.375	3.63194	7.07292	127009	455.687
17.5	4.43941	5.84667	127009	455.687
17.625	5.0936	4.62042	127009	455.687
17.75	5.59452	3.39417	127009	455.687
17.875	5.94215	2.16792	127009	455.687
18	6.1365	0.941674	127009	455.687
18.125	6.17757	-0.284576	127009	455.687
18.25	6.06535	-1.51083	127009	455.687
18.375	5.79986	-2.73708	127009	455.687
18.5	5.38109	-3.96333	127009	455.687
18.625	4.80903	-5.18958	127009	455.687
18.75	4.08369	-6.41583	127009	455.687
18.875	3.20507	-7.64208	127009	455.687
19	2.17317	-8.86833	127009	455.687
19.125	0.987992	-10.0945	127008	456.592
19.25	-0.32427	-10.6045	131089	3624.36
19.375	-1.58679	-9.48735	126860	604.756
19.5	-2.69606	-8.2611	126860	604.756
19.625	-3.65206	-7.03485	126860	604.756
19.75	-4.45478	-5.8086	126860	604.756
19.875	-5.10421	-4.58235	126860	604.756
20	-5.60036	-3.3561	126860	604.756
0	6.10584	1.38687	127465	0
0.0625	6.17336	0.77375	127465	1.45519e-11
0.125	6.20256	0.160625	127465	0
0.1875	6.19344	-0.4525	127465	0
0.25	6.146	-1.06563	127465	0
0.3125	6.06023	-1.67875	127465	1.45519e-11
0.375	5.93615	-2.29188	127465	0
0.4375	5.77375	-2.905	127465	0
0.5	5.57303	-3.51813	127465	0
0.5625	5.33398	-4.13125	127465	1.45519e-11
0.625	5.05662	-4.74438	127465	0
0.6875	4.74094	-5.3575	127465	0
0.75	4.38693	-5.97063	127465	0
0.8125	3.99461	-6.58375	127465	1.45519e-11
0.875	3.56396	-7.19688	127465	0
0.9375	3.095	-7.81	127465	0
1	2.58771	-8.42313	127465	1.45519e-11
1.0625	2.04211	-9.03625	127465	1.45519e-11
1.125	1.45818	-9.64938	127465	0
1.1875	0.835937	-10.2586	127445	19.4863
1.25	0.179697	-10.6703	129101	1635.8
1.3125	-0.485952	-10.535	131756	4291.51
1.375	-1.12796	-9.97575	127388	77.2071
1.4375	-1.73229	-9.36263	127388	77.2071
1.5	-2.29829	-8.7495	127388	77.2071
1.5625	-2.82597	-8.13638	127388	77.2071
1.625	-3.31534	-7.52325	127388	77.2071
1.6875	-3.76638	-6.91013	127388	77.2071
1.75	-4.1791	-6.297	127388	77.2071
1.8125	-4.55351	-5.68388	127388	77.2071
1.875	-4.88959	-5.07075	127388	77.2071
1.9375	-5.18735	-4.45763	127388	77.2071
2	-5.44679	-3.8445	127388	77.2071
2.0625	-5.66791	-3.23138	127388	77.2071
2.125	-5.85071	-2.61825	127388	77.2071
2.1875	-5.9952	-2.00513	127388	77.2071
2.25	-6.10136	-1.392	127388	77.2071
2.3125	-6.1692	-0.778879	127388	77.2071
2.375	-6.19872	-0.165754	127388	77.2071
2.4375	-6.18991	0.447371	127388	77.2071
2.5	-6.14279	1.0605	127388	77.2071
2.5625	-6.05735	1.67362	127388	77.2071
2.625	-5.93359	2.28675	127388	77.2071
2.6875	-5.77151	2.89987	127388	77.2071
2.75	-5.57111	3.513	127388	77.2071
2.8125	-5.33239	4.12612	127388	77.2071
2.875	-5.05534	4.73925	127388	77.2071
2.9375	-4.73998	5.35237	127388	77.2071
3	-4.3863	5.9655	127388	77.2071
3.0625	-3.99429	6.57862	127388	77.2071
3.125	-3.56397	7.19175	127388	77.2071
3.1875	-3.09532	7.80487	127388	77.2071
3.25	-2.58836	8.418	127388	77.2071
3.3125	-2.04307	9.03112	127388	77.2071
3.375	-1.45947	9.64425	127388	77.2071
3.4375	-0.837544	10.2535	129936	2471.6
3.5	-0.18159	10.6664	130819	3354.05
3.5625	0.48387	10.5328	127872	407.017
3.625	1.12577	9.97427	127312	153.27
3.6875	1.73	9.36114	127312	153.27
3.75	2.29592	8.74802	127312	153.27
3.8125	2.82351	8.13489	127312	153.27
3.875	3.31278	7.52177	127312	153.27
3.9375	3.76373	6.90864	127312	153.27
4	4.17636	6.29552	127312	153.27
4.0625	4.55067	5.68239	127312	153.27
4.125	4.88666	5.06927	127312	153.27
4.1875	5.18432	4.45614	127312	153.27
4.25	5.44367	3.84302	127312	153.27
4.3125	5.6647	3.22989	127312	153.27
4.375	5.84741	2.61677	127312	153.27
4.4375	5.9918	2.00364	127312	153.27
4.5	6.09786	1.39052	127312	153.27
4.5625	6.16561	0.777391	127312	153.27
4.625	6.19504	0.164266	127312	153.27
4.6875	6.18614	-0.448859	127312	153.27
4.75	6.13893	-1.06198	127312	153.27
4.8125	6.0534	-1.67511	127312	153.27
4.875	5.92954	-2.28823	127312	153.27
4.9375	5.76737	-2.90136	127312	153.27
5	5.56687	-3.51448	127312	153.27
5.0625	5.32806	-4.12761	127312	153.27
5.125	5.05092	-4.74073	127312	153.27
5.1875	4.73547	-5.35386	127312	153.27
5.25	4.38169	-5.96698	127312	153.27
5.3125	3.98959	-6.58011	127312	153.27
5.375	3.55918	-7.19323	127312	153.27
5.4375	3.09044	-7.80636	127312	153.27
5.5	2.58338	-8.41948	127312	153.27
5.5625	2.038	-9.03261	127312	153.27
5.625	1.4543	-9.64573	127312	153.27
5.6875	0.832286	-10.2548	127293	172.081
5.75	0.176344	-10.6642	128962	1497.6
5.8125	-0.488835	-10.5262	131603	4138.31
5.875	-1.13026	-9.96609	127233	231.91
5.9375	-1.73398	-9.35296	127233	231.91
6	-2.29938	-8.73984	127233	231.91
6.0625	-2.82646	-8.12671	127233	231.91
6.125	-3.31522	-7.51359	127233	231.91
6.1875	-3.76566	-6.90046	127233	231.91
6.25	-4.17777	-6.28734	127233	231.91
6.3125	-4.55157	-5.67421	127233	231.91
6.375	-4.88705	-5.06109	127233	231.91
6.4375	-5.18421	-4.44796	127233	231.91
6.5	-5.44305	-3.83484	127233	231.91
6.5625	-5.66356	-3.22171	127233	231.91
6.625	-5.84576	-2.60859	127233	231.91
6.6875	-5.98964	-1.99546	127233	231.91
6.75	-6.09519	-1.38234	127233	231.91
6.8125	-6.16243	-0.769212	127233	231.91
6.875	-6.19134	-0.156087	127233	231.91
6.9375	-6.18194	0.457038	127233	231.91
7	-6.13421	1.07016	127233	231.91
7.0625	-6.04817	1.68329	127233	231.91
7.125	-5.9238	2.29641	127233	231.91
7.1875	-5.76112	2.90954	127233	231.91
7.25	-5.56011	3.52266	127233	231.91
7.3125	-5.32078	4.13579	127233	231.91
7.375	-5.04314	4.74891	127233	231.91
7.4375	-4.72717	5.36204	127233	231.91
7.5	-4.37288	5.97516	127233	231.91
7.5625	-3.98028	6.58829	127233	231.91
7.625	-3.54935	7.20141	127233	231.91
7.6875	-3.0801	7.81454	127233	231.91
7.75	-2.57253	8.42766	127233	231.91
7.8125	-2.02664	9.04079	127233	231.91
7.875	-1.44243	9.65391	127233	231.91
7.9375	-0.819902	10.2624	129978	2512.92
8	-0.163705	10.6635	130578	3113.37
8.0625	0.501081	10.5147	127668	203.599
8.125	1.14162	9.95084	127149	316.369
8.1875	1.74439	9.33772	127149	316.369
8.25	2.30884	8.72459	127149	316.369
8.3125	2.83497	8.11147	127149	316.369
8.375	3.32277	7.49834	127149	316.369
8.4375	3.77226	6.88522	127149	316.369
8.5	4.18342	6.27209	127149	316.369
8.5625	4.55627	5.65897	127149	316.369
8.625	4.89079	5.04584	127149	316.369
8.6875	5.187	4.43272	127149	316.369
8.75	5.44488	3.81959	127149	316.369
8.8125	5.66445	3.20647	127149	316.369
8.875	5.84569	2.59334	127149	316.369
8.9375	5.98862	1.98022	127149	316.369
9	6.09322	1.36709	127149	316.369
9.0625	6.1595	0.753965	127149	316.369
9.125	6.18746	0.14084	127149	316.369
9.1875	6.17711	-0.472285	127149	316.369
9.25	6.12843	-1.08541	127149	316.369
9.3125	6.04143	-1.69853	127149	316.369
9.375	5.91611	-2.31166	127149	316.369
9.4375	5.75247	-2.92478	127149	316.369
9.5	5.55051	-3.53791	127149	316.369
9.5625	5.31023	-4.15103	127149	316.369
9.625	5.03163	-4.76416	127149	316.369
9.6875	4.71471	-5.37728	127149	316.369
